Serial Number,List Year,Date Recorded,Town,Address,Assessed Value,Sale Amount,Sales Ratio,Property Type,Residential Type,Non Use Code,Assessor Remarks,OPM remarks,Location
190815,2019,9/14/2020,Norwich,39 GLEZEN ST,82400,138000.0,0.5971,Single Family,Single Family,,,,
210159,2021,11/22/2021,West Haven,94 HONEY POT RD,182490,405500.0,0.45,Residential,Single Family,,,,POINT (-72.984830976 41.246094988)
160722,2016,7/25/2017,Meriden,207 BROAD ST,91560,112900.0,0.810983171,Single Family,Single Family,,,,
2000026,2020,10/13/2020,Naugatuck,41 MILLVILLE AVE #201,90850,155000.0,0.5861,Residential,Condo,,,,
200248,2020,12/9/2020,Middletown,300 FARM HILL RD,152060,231500.0,0.6568,Residential,Single Family,,,,
200326,2020,4/19/2021,New Canaan,430 FROGTOWN RD,2042180,3800000.0,0.5374,Residential,Single Family,,,,
210869,2021,8/17/2022,Torrington,238 NEW LITCHFIELD ST,84030,199000.0,0.4222,Residential,Single Family,,,,POINT (-73.125211007 41.792214998)
200136,2020,11/16/2020,Trumbull,44 HIGHGATE RD,266070,478500.0,0.556,Residential,Single Family,,,,POINT (-73.21537 41.23583)
2100792,2021,1/19/2022,Stamford,77 HAVEMEYER LANE #64,652060,1075000.0,0.6065,Residential,Condo,,,,POINT (-73.565795018 41.055780985)
170257,2017,7/2/2018,New Canaan,76 HARRISON AVE,904120,1230000.0,0.735,Single Family,Single Family,,,,
180484,2018,9/26/2019,Simsbury,19 GREAT POND ROAD,187150,272000.0,0.688,Single Family,Single Family,,,,
170436,2017,4/13/2018,Manchester,139 CARRIAGE DRIVE,151500,200000.0,0.7575,Single Family,Single Family,10 - A Will,TRUST,,POINT (-72.50819 41.754)
170714,2017,6/7/2018,Stratford,1901 NICHOLS AVE,174090,327000.0,0.532385321,Single Family,Single Family,07 - Change in Property,,TOTAL REMODEL PER MLS - ALSO SEE #170066,
200238,2020,11/13/2020,Manchester,231 NORTH ELM STREET,123200,235000.0,0.5242,Residential,Single Family,,,,
170064,2017,11/6/2017,Torrington,246 CIDER MILL CROSSING,34630,40000.0,0.86575,,,,,,POINT (-73.08682 41.83082)
20028,2020,12/15/2020,Ashford,123 NORTH RD,37500,15000.0,2.5,Residential,Single Family,25 - Other,MOBILE HOME NOT LIVABLE. OWNER MOVED OUT YEAR BEFORE SALE.,,
20064,2020,11/4/2020,Bethel,1 FLEETWOOD AVE,161140,299900.0,0.5373,Residential,Single Family,,,,POINT (-73.42598 41.37619)
210900016,2021,9/21/2022,Woodbury,39 JUDSON AVE,186730,470000.0,0.3972,Residential,Single Family,,,,POINT (-73.212194039 41.54545399)
180027,2018,10/30/2018,East Hampton,4 STARR PLACE,124530,125580.0,0.9916,Three Family,Three Family,14 - Foreclosure,FORECLOSURE,,
180071,2018,2/15/2019,Old Lyme,64 BROWNS LA,201900,217000.0,0.9304,Condo,Condo,,,,POINT (-72.2725 41.30219)
21034,2021,10/18/2021,Farmington,105 KNOLLWOOD RD,224440,426300.0,0.5264,Residential,Single Family,,CASH SALE NO MORTGAGE,,POINT (-72.865213003 41.761718994)
160054,2016,4/3/2017,Thomaston,632 HICKORY HILL RD,260610,254000.0,1.026023622,Single Family,Single Family,14 - Foreclosure,,,
17521,2017,5/11/2018,East Hartford,40 ELLSWORTH ST.,99080,160000.0,0.6192,Single Family,Single Family,,,,
190155,2019,12/31/2019,Glastonbury,27 KREIGER LN,407700,5000.0,81.54,,,06 - Portion of Property,PIECE TO ABUTTER,,
181232,2018,9/10/2019,Danbury,10 ASPEN WAY,215200,348500.0,0.6175,Single Family,Single Family,,L04002,,POINT (-73.42383 41.45119)
1600253,2016,8/21/2017,Suffield,GRIFFIN RD,395260,1500000.0,0.263506667,,,24 - Plottage,7 PARCELS,,
171644,2017,9/13/2018,Norwalk,63 VALLEY VIEW CT,288740,455000.0,0.6345,Single Family,Single Family,,5-22B-168-0,,POINT (-73.42432 41.146)
190327,2019,9/21/2020,Berlin,22 KNOLLWOOD CT,176600,175000.0,1.0091,Single Family,Single Family,08 - Part Interest,,,
17557,2017,5/31/2018,East Hartford,45 GRANDE DR.,101420,150000.0,0.6761,Single Family,Single Family,25 - Other,estate sale,,
21000176,2021,1/28/2022,Cheshire,401 ROBIN CT,87280,146000.0,0.5978,Residential,Condo,,,,POINT (-72.912214023 41.512919004)
160612,2016,5/2/2017,Stratford,66 HARBOUR VIEW PL UNIT 4,209440,270000.0,0.775703704,Condo,Condo,,,,POINT (-73.12678 41.18176)
211040,2021,7/21/2022,Hamden,306 PINE ROCK AVE UD14,29190,76500.0,0.3815,Residential,Condo,,,,POINT (-72.946902026 41.341475011)
16247,2016,4/19/2017,Newington,185 INDIAN HILL RD,108280,172500.0,0.627710145,Single Family,Single Family,,,,
20200703,2020,4/1/2021,Stratford,155 PLANE TREE ROAD,167020,310000.0,0.5387,Residential,Single Family,,,,
180071,2018,4/9/2019,North Branford,35 OLD POST RD,249000,390000.0,0.6384,Single Family,Single Family,,,,
190568,2019,7/27/2020,Shelton,11 FAIRFIELD AVE,126840,265500.0,0.4777,Single Family,Single Family,07 - Change in Property,,,
210170,2021,11/3/2021,West Hartford,38 TAYLOR ROAD,160965,320000.0,0.503,Residential,Single Family,,,,POINT (-72.731659027 41.74578202)
19158,2019,4/20/2020,Darien,11 KENSETT LANE,1031100,1329000.0,0.7758,Condo,Condo,,,,
171383,2017,8/2/2018,Norwalk,12 RESERVOIR AVE,241340,485000.0,0.4976,Three Family,Three Family,11 - Court Order,1-39-5-0,,
180270,2018,4/15/2019,Branford,155 WATCH HILL RD,118300,179500.0,0.659052925,Condo,Condo,,,,
1700216,2017,6/25/2018,East Hampton,43 CHAMPION HILL RD,170600,245000.0,0.6963,Single Family,Single Family,,,,
20200543,2020,2/3/2021,Stratford,210 VAL DRIVE,193270,350000.0,0.5522,Residential,Single Family,,,,POINT (-73.15662 41.22727)
160855,2016,4/19/2017,Middletown,52 BATT ST,94610,162000.0,0.584012346,Single Family,Single Family,,,,POINT (-72.67818 41.54352)
210932,2021,8/29/2022,Norwich,136 HUNTERS RD #125A,39200,161902.0,0.2421,Residential,Single Family,07 - Change in Property,,,POINT (-72.059706529 41.56016435)
190234,2019,4/3/2020,Windsor,59 SYCAMORE ST,145110,255000.0,0.5691,Single Family,Single Family,,,,
180068,2018,3/5/2019,Brooklyn,419 WOLF DEN RD,143500,235000.0,0.6106,Single Family,Single Family,,,,
21150,2021,2/17/2022,Plainfield,24-26 NORTH CHESTNUT ST,85150,163620.0,0.5204,Residential,Two Family,,,,POINT (-71.911031982 41.746083015)
170348,2017,3/1/2018,West Hartford,180 WHITING LANE,194040,335000.0,0.5792,Two Family,Two Family,,,,
21017,2021,4/12/2022,Franklin,LEBANON RD,53260,8000.0,6.6575,Vacant Land,,08 - Part Interest,GAUTHIER GRANTED HER HALF TO HYDE,,POINT (-72.158835407 41.589834018)
190300,2019,2/21/2020,Southington,16 HILLSIDE LN (TP),50200,79000.0,0.6354,Single Family,Single Family,,,,
170146,2017,12/1/2017,Southington,192 WATERS EDGE DR,108840,158700.0,0.685822306,Condo,Condo,,,,
190088,2019,11/8/2019,Shelton,18 MAGGIE LN,102900,200000.0,0.5145,,,,BUILDING LOT,,
161093,2016,9/12/2017,Danbury,50 FORTY ACRE MT RD,430100,545000.0,0.789174312,Single Family,Single Family,,K03006,,
190338,2019,2/18/2020,Hamden,181 HAVERFORD ST,183820,334000.0,0.5504,Single Family,Single Family,,,,
180333,2018,7/24/2019,Simsbury,291 FIRETOWN ROAD,131390,228000.0,0.5762,Single Family,Single Family,,,,
2100610,2021,8/8/2022,New Milford,28 UPPER MALLETT LN,193740,179500.0,1.0793,Residential,Single Family,08 - Part Interest,PART INTEREST,,POINT (-73.400487962 41.579832994)
200081,2020,4/23/2021,Preston,299 ROUTE 165,51000,40000.0,1.275,Vacant Land,,,,,
190080,2019,8/4/2020,Preston,27 TANGLEWOOD DR,199000,285000.0,0.6982,Single Family,Single Family,18 - In Lieu Of Foreclosure,,,
210218,2021,7/12/2022,Canton,48 PHEASANT HILL RD,100100,228000.0,0.439,Vacant Land,,,,,POINT (-72.911482031 41.814281993)
19538,2019,9/15/2020,Ridgefield,112 GREAT HILL RD,313380,350000.0,0.8953,Single Family,Single Family,07 - Change in Property,,,
160449,2016,3/31/2017,Greenwich,16 CHIMNEY CORNER LANE,3892700,8500000.0,0.457964706,Single Family,Single Family,,,,
201579,2020,8/12/2021,Greenwich,4 CHASMA ROAD,671300,850000.0,0.7897,Residential,Single Family,25 - Other,NOT LISTED,,POINT (-73.5706 41.03958)
170116,2017,3/20/2018,Windsor Locks,3 NATIONAL DRIVE,1143751,2851000.0,0.4011,,,,,,
180513,2018,6/25/2019,Enfield,67 VARNO LA,117830,195000.0,0.6042,Single Family,Single Family,,,,
160058,2016,6/29/2017,Pomfret,238 KEARNEY RD,228800,324000.0,0.70617284,Single Family,Single Family,,,,POINT (-71.95325 41.8416)
20108,2020,1/5/2021,Plainfield,22 PHILLIPS ST,98780,162500.0,0.6078,Residential,Single Family,,,,POINT (-71.92446 41.68271)
180029,2018,10/29/2018,Prospect,131 HOWARD AVE,28690,42955.0,0.667908276,Single Family,Single Family,,,,
160519,2016,7/14/2017,South Windsor,184 PEPIN PLACE,0,279900.0,0.0,Single Family,Single Family,07 - Change in Property,NEW CONSTRUCTION-PUD,,
210084,2021,12/22/2021,Windsor Locks,520 NORTH STREET,149800,318000.0,0.471069182,Residential,Single Family,07 - Change in Property,,RENOVATIONS PER MLS - SEE PREVIOUS SALE #200194,POINT (-72.663924029 41.939621997)
18008,2018,10/12/2018,Durham,80 BAILEY RD,1960,150000.0,0.013,Single Family,Single Family,28 - Use Assessment,Sale of foreclosed property in PA-490,,
190566,2019,3/11/2020,Norwalk,4 ROWAYTON WOODS DR UNIT 1/,228350,385000.0,0.5931,Condo,Condo,,5-80-200-1/06,,
190903,2019,9/1/2020,Killingly,36 RICHARD ST,107800,173000.0,0.6231,Single Family,Single Family,,,,POINT (-71.87628 41.82522)
170438,2017,8/22/2018,New London,49 BECKWITH ST,31500,38000.0,0.8289,,,,,,
191109,2019,8/13/2020,Norwalk,25 GRAND ST UNIT 243,143410,238500.0,0.6013,Condo,Condo,,1-111-8-243,,POINT (-73.4232 41.12526)
1800524,2018,1/18/2019,Stamford,143 ALPINE STREET,287050,445000.0,0.645,Single Family,Single Family,,,,
160187,2016,5/12/2017,Ledyard,355 COLONEL LEDYARD HWY,135730,250000.0,0.54292,Single Family,Single Family,,,,
1600137,2016,4/13/2017,Suffield,44 FARMSTEAD LN,380030,520000.0,0.730826923,Single Family,Single Family,,,,
160142,2016,7/31/2017,Brooklyn,14 BAILEY ST,75200,72000.0,1.044444444,Single Family,Single Family,25 - Other,SALE PRICE BELOW ASSESSMENT,,POINT (-71.89611 41.79405)
200257,2020,9/16/2021,Canton,45 EAST HILL ROAD,182420,320000.0,0.57,Residential,Single Family,,,,
170229,2017,12/20/2017,West Hartford,47-4 SKY VIEW DR,86870,125500.0,0.692191235,Condo,Condo,,,,
180194,2018,8/19/2019,Prospect,29 SPRUCE DR,144300,275000.0,0.5247,Single Family,Single Family,,,,POINT (-72.95942 41.49244)
18174,2018,4/30/2019,North Haven,44 MONTOWESE,168000,300000.0,0.56,Single Family,Single Family,03 - Inter Corporation,,,
210838,2021,3/1/2022,West Haven,92 & 96 ARLINGTON ST,137830,315000.0,0.4375,Residential,Single Family,,LAND AND HOUSE,,POINT (-72.967132001 41.249386981)
1600215,2016,2/16/2017,New Milford,12 BULLYMUCK RD,158620,140000.0,1.133,Single Family,Single Family,14 - Foreclosure,FORECLOSURE SALE,,
181040,2018,5/7/2019,Milford,1 CARRINGTON AVE,355190,530000.0,0.6701,Single Family,Single Family,,,,
1900848,2019,4/6/2020,Stamford,1 BROAD STREET # 20A,636359,750000.0,0.8485,Condo,Condo,,,,
190010,2019,10/3/2019,Windsor,44 BELMONT AVE,134960,225000.0,0.5998,Single Family,Single Family,,,,POINT (-72.66283 41.84484)
180491,2018,6/18/2019,Glastonbury,43 DRUMLIN RD,127800,250000.0,0.5112,,,,,,
171524,2017,9/4/2018,Norwalk,4 VAN ZANT ST UNIT A5,67970,150000.0,0.4531,Condo,Condo,25 - Other,3-36-7-A5,,
170075,2017,6/22/2018,Thomaston,245 REYNOLDS BRIDGE RD,81340,115000.0,0.7073,Single Family,Single Family,,,,
180196,2018,12/26/2018,New Haven,32 BURWELL ST,93870,150000.0,0.6258,Two Family,Two Family,,,,
160205,2016,2/6/2017,East Hampton,130 CHESTNUT HILL RD,191530,188000.0,1.018776596,Single Family,Single Family,14 - Foreclosure,SALE OF FORECLOSED PROPERTY,,
2100298,2021,12/17/2021,Stratford,3699 BROADBRIDGE AVE UNIT 204,38080,86764.0,0.4388,Residential,Condo,,,,POINT (-73.161948972 41.218841985)
19019,2019,10/23/2019,North Haven,1 UPPER STATE ST,150430,284500.0,0.5288,Single Family,Single Family,,,,
180073,2018,11/19/2018,Newington,30 HICKORY HILL LN,194110,225000.0,0.8627,Single Family,Single Family,,,,
211120,2021,9/12/2022,Fairfield,118 MYREN STREET,669620,1450000.0,0.4618,Residential,Single Family,,,,POINT (-73.240286993 41.140023009)
190025,2019,1/17/2020,Chester,61 RAILROAD AVE,644310,815000.0,0.7906,,,,,,
210018,2021,10/13/2021,Seymour,6 RIDER AVE,117460,228000.0,0.5151,Residential,Single Family,,,,POINT (-73.079111964 41.39152499)
200043,2020,10/15/2020,Milford,222 PLAINS RD,169830,290000.0,0.5856,Residential,Single Family,,,,POINT (-73.08172 41.22262)
160746,2016,7/11/2017,Greenwich,112 PATTERSON AVE,1010590,1475000.0,0.685145763,Single Family,Single Family,,,,POINT (-73.62775 41.03837)
180738,2018,8/15/2019,Torrington,99 AUBURN WAY,158220,232500.0,0.6805,Single Family,Single Family,,,,POINT (-73.07001 41.85369)
167475,2016,7/17/2017,Bridgeport,39 BRITTIN AVE,182500,329000.0,0.554711246,Single Family,Single Family,,,,
160869,2016,8/23/2017,Bristol,745 WILLIS ST,188090,267000.0,0.704456929,Single Family,Single Family,,,,POINT (-72.94524 41.64933)
170719,2017,6/7/2018,Stratford,414 A BLACKHAWK LN,127260,165000.0,0.771272727,Condo,Condo,25 - Other,SALE FROM ESTATE,,
200508,2020,7/2/2021,Farmington,3 BRITTANY LANE,313040,480000.0,0.6521,Residential,Single Family,,,,POINT (-72.88333 41.74762)
18576,2018,4/25/2019,Hartford,999 ALBANY AVE,32060,25000.0,1.2824,,,25 - Other,MOTIVATED SELLER BELOW MARKET,,
200532,2020,4/20/2021,Shelton,760 RIVER RD,4440200,28028007.0,0.1584,Commercial,,,,,
160403,2016,3/24/2017,Meriden,61 HARRISON ST,114800,160000.0,0.7175,Single Family,Single Family,25 - Other,ESTATE SALE,,
20200037,2020,4/1/2021,North Canaan,14 BROWNS LN,147840,45000.0,3.2853,Residential,Single Family,01 - Family,,,POINT (-73.26392 42.01396)
160200,2016,8/21/2017,Canton,110 CASE STREET,244580,415000.0,0.589349398,Single Family,Single Family,,,,
190184,2019,9/15/2020,Brooklyn,46 HERRICK RD,176690,412000.0,0.4289,Single Family,Single Family,,,,
20177,2020,12/3/2020,Newtown,4 HILLCREST DRIVE,139340,285000.0,0.4889,Residential,Single Family,,,,POINT (-73.35645 41.42062)
201063,2020,8/13/2021,New Britain,143 TREMONT ST,125300,352000.0,0.3559,Residential,Three Family,,,,
170241,2017,7/16/2018,Ledyard,757 SHEWVILLE RD,179830,299900.0,0.5996,Single Family,Single Family,,,,
180130,2018,8/2/2019,Hebron,203 GILEAD ST,126240,109000.0,1.1581,Single Family,Single Family,01 - Family,SALE BETWEEN SPOUSE,,
180353,2018,3/8/2019,Greenwich,6 GARDEN PLACE,337260,550000.0,0.6132,Single Family,Single Family,25 - Other,Estate Sale,,
180156,2018,6/3/2019,Coventry,47 CAROL DR,107500,194300.0,0.5532,Single Family,Single Family,,,,
210869,2021,2/3/2022,Waterbury,70 RADCLIFFE AVE,73610,148000.0,0.497364865,Residential,Single Family,25 - Other,PRIVATE SALE,,POINT (-73.008134008 41.553629991)
180649,2018,7/22/2019,Wallingford,25 SYLVAN AVE,172000,279000.0,0.6164,Two Family,Two Family,,,,
180398,2018,4/9/2019,Torrington,839 MAIN ST UNIT 29,38550,31000.0,1.2435,Condo,Condo,14 - Foreclosure,,,POINT (-73.12182 41.81757)
190258,2019,12/19/2019,New Britain,130 EAST ST,74270,116499.0,0.6375,Two Family,Two Family,,,,
160966,2016,9/29/2017,Bristol,512 BROAD ST,82590,60500.0,1.365123967,Single Family,Single Family,25 - Other,,BELOW MARKET,
210441,2021,12/27/2021,Danbury,136 PEMBROKE RD 9-77,80100,152500.0,0.5252,Residential,Condo,,G05015-77,,POINT (-73.474177967 41.443717005)
160329,2016,5/4/2017,Branford,80 EAST MAIN ST,128600,170000.0,0.756470588,,,,,,
190873,2019,9/28/2020,Manchester,99 HARVEST LANE,254800,398000.0,0.6402,Single Family,Single Family,,,,
190173,2019,6/25/2020,East Windsor,10 WESLEY RD,106180,238000.0,0.4461,Single Family,Single Family,07 - Change in Property,RENOVATIONS AFTER 10/1,,
190626,2019,7/7/2020,Southington,96 LITTLE FAWN RD,171310,282900.0,0.6055,Single Family,Single Family,,,,
21174,2021,3/8/2022,Plainfield,22 SOUTH CADY LN,124970,333000.0,0.375285285,Residential,Single Family,,,,POINT (-71.919369964 41.723287004)
190231,2019,1/24/2020,Wallingford,58 GROVE ST,175800,199000.0,0.8834,Single Family,Single Family,10 - A Will,,,POINT (-72.82989 41.49695)
200789,2020,1/22/2021,Norwalk,35 MEEKER CT,292110,1300000.0,0.2247,Residential,Single Family,07 - Change in Property,6-28C-40-0 - RES VACANT LAND,NEW CONSTRUCTION - CO 1/15/2021,POINT (-73.44244 41.08043)
2100284,2021,2/18/2022,New Milford,112 CARMEN HILL RD,117550,170000.0,0.6914,Residential,Single Family,14 - Foreclosure,FORECLOSURE SALE,,POINT (-73.437590959 41.515102993)
161301,2016,8/8/2017,Norwalk,1 AVENUE B,182970,175200.0,1.044349315,Single Family,Single Family,,,,
170376,2017,3/6/2018,New Haven,122 MUNSON ST UNIT 10,33600,61000.0,0.5508,Condo,Condo,,,,
211688,2021,9/23/2022,Norwalk,3 ISSACS ST 8,320730,250000.0,1.2829,Commercial,,08 - Part Interest,2/3 interest,,POINT (-73.413122819 41.117337087)
180227,2018,3/15/2019,South Windsor,812 TWIN CIRCLE DR,59600,80750.0,0.738,Condo,Condo,,,,
20056,2020,10/15/2020,New Britain,54 BEACH ST,157780,300000.0,0.5259,Residential,Two Family,,,,POINT (-72.79173 41.68595)
17051,2017,4/5/2018,Lebanon,233 MACK RD,169170,279882.0,0.6044,Single Family,Single Family,,,,
1800333,2018,5/9/2019,New Milford,175 CARMEN HILL RD,71120,65000.0,1.094153846,,,,SALES RATIO,,
170654,2017,2/21/2018,Norwalk,38 DOCK RD,739230,910000.0,0.8123,Single Family,Single Family,25 - Other,5-84-99-0 - SALE UNQUALIFIED BY TYLER TECH FOR 2018 REVAL,,
200175,2020,1/11/2021,New Canaan,392 MARIOMI RD,576030,1155000.0,0.4987,Residential,Single Family,,,,POINT (-73.4753 41.18431)
190118,2019,2/19/2020,East Hampton,57 SKYLINE DR,277560,400000.0,0.6939,Single Family,Single Family,,,,
200075,2020,10/23/2020,Meriden,300 TUMBLEBROOK RD,130550,255000.0,0.5119,Residential,Single Family,,,,POINT (-72.7626 41.53581)
211240,2021,8/4/2022,West Haven,46 LAKEVIEW AVE,126910,50000.0,2.5382,Residential,Single Family,11 - Court Order,,,POINT (-72.968525995 41.303677993)
210179,2021,6/22/2022,Litchfield,383 MARSH RD,103380,260000.0,0.3976,Residential,Single Family,,,,POINT (-73.102886981 41.725672996)
190113,2019,6/8/2020,Woodstock,200 CHILD RD,229400,430000.0,0.5335,Single Family,Single Family,,,,
170718,2017,8/3/2018,Southington,276 NORTH MAIN ST,285850,475000.0,0.6017,,,,,,
210084,2021,5/9/2022,New Hartford,7 CHURCH STREET NORTH,238070,270000.0,0.8817,Commercial,,,,,POINT (-72.980651005 41.878508996)
210917,2021,6/13/2022,New Britain,342 HIGH ST,77490,150000.0,0.5166,Residential,Two Family,,,,POINT (-72.786957963 41.677240013)
180592,2018,9/6/2019,Trumbull,273 SHELTON RD,403200,383625.0,1.051026393,Single Family,Single Family,08 - Part Interest,,,
200343,2020,1/5/2021,Torrington,66 ARBOR DR,92370,198500.0,0.4653,Residential,Single Family,,,,POINT (-73.11422 41.82019)
160728,2016,2/23/2017,Bridgeport,36 WAYNE ST,156320,266000.0,0.587669173,Three Family,Three Family,,,,
180140,2018,2/11/2019,East Lyme,9 HARVEST GLEN,333270,525000.0,0.6348,Single Family,Single Family,,,,
190064,2019,12/9/2019,Clinton,2 LOCHBOURN DR,142500,229900.0,0.6198,Single Family,Single Family,,,,
210071,2021,1/24/2022,Canton,260 WRIGHT ROAD,194800,350000.0,0.5565,Residential,Single Family,,,,POINT (-72.927228023 41.894963007)
20093,2020,11/4/2020,Southbury,869 B HERITAGE VILLAGE,130010,212000.0,0.6132,Residential,Condo,,,,POINT (-73.22531 41.49019)
210073,2021,1/4/2022,Weston,1 BLUEBERRY HILL,298600,457975.0,0.652,Residential,Single Family,18 - In Lieu Of Foreclosure,,,POINT (-73.348892989 41.218807996)
160370,2016,1/30/2017,Stratford,125 SANDS PL,143920,218000.0,0.660183486,Single Family,Single Family,,,,
180409,2018,11/29/2018,Salem,129 SULLIVAN RD,179200,161100.0,1.112352576,Single Family,Single Family,14 - Foreclosure,,,
200492,2020,1/19/2021,Danbury,19 BRENTWOOD CI,18200,507078.0,0.0358,Residential,Condo,07 - Change in Property,B16001-87 / NEW CONSTRUCTION,,
200084,2020,10/16/2020,Greenwich,230 STANWICH ROAD,805070,1150000.0,0.70006087,Residential,Single Family,25 - Other,estate,,POINT (-73.60489 41.06853)
17032,2017,11/2/2017,North Haven,55 CLOUDLAND RD,194950,312000.0,0.624839744,Single Family,Single Family,,,,
211503,2021,9/8/2022,Danbury,1804 BRIAR WOODS LA,174600,405000.0,0.4311,Residential,Condo,,C16028-1804,,POINT (-73.513506872 41.383508169)
190706,2019,5/29/2020,New Haven,22 ROGER WHITE DR,104300,130000.0,0.8023,Single Family,Single Family,14 - Foreclosure,,,POINT (-72.94911 41.32822)
190040,2019,11/13/2019,New London,16 GLENWOOD PL,133560,239000.0,0.5588,Single Family,Single Family,,,,
170268,2017,5/7/2018,Vernon,88 HILLSIDE MANOR AVE,121250,185000.0,0.6554,Single Family,Single Family,,,,
201049,2020,5/20/2021,Greenwich,27 HOLLOW WOOD LANE UNIT 2,313320,400000.0,0.7833,Residential,Condo,25 - Other,NOT LISTED,,POINT (-73.65582 41.01841)
160177,2016,7/13/2017,Stafford,9 RIVER RD,118860,315000.0,0.377333333,,,,,,POINT (-72.30312 41.9531)
180262,2018,3/11/2019,Glastonbury,82 UPLANDS WAY,156700,235000.0,0.6668,Condo,Condo,,,,
17749,2017,8/21/2018,East Hartford,186 HOLLISTER DR.,75270,142000.0,0.53,Single Family,Single Family,,,,
211633,2021,6/8/2022,Waterbury,38 DRACUT AVE,60340,220000.0,0.2742,Residential,Single Family,,,,POINT (-73.035050981 41.577379988)
211760,2021,6/21/2022,Bridgeport,2475 NORTH AVE,249300,330000.0,0.7554,Commercial,,,,,POINT (-73.217371038 41.177519998)
190549,2019,5/28/2020,Manchester,64 BRANFORD STREET,100000,215000.0,0.4651,Single Family,Single Family,,,,
2132336,2021,8/31/2022,North Haven,384 MIDDLETOWN AVE,167980,302500.0,0.5553,Residential,Single Family,,,,POINT (-72.847444039 41.352954992)
180483,2018,5/9/2019,Torrington,950 MIGEON AVE,70540,172500.0,0.4089,Two Family,Two Family,,,,
200139,2020,11/3/2020,West Hartford,368 FERN STREET,254160,408000.0,0.6229,Residential,Single Family,,,,POINT (-72.73467 41.76951)
2100219,2021,2/10/2022,Wethersfield,404 RIDGE RD,159780,310000.0,0.5154,Residential,Single Family,,,,POINT (-72.690325013 41.711739004)
2100325,2021,9/6/2022,Seymour,43-14 BALANCE ROCK RD,58590,125000.0,0.4687,Residential,Condo,,,,POINT (-73.096516986 41.388507002)
1901781,2019,9/21/2020,Stamford,87 GLENBROOK ROAD # 6E,99770,170000.0,0.5869,Condo,Condo,,,,
2020454,2020,7/26/2021,Wilton,25 ARROWHEAD RD,329140,585000.0,0.5626,Residential,Single Family,,,,POINT (-73.41878 41.17366)
16343,2016,2/22/2017,East Hartford,1962 MAIN ST.,99830,154900.0,0.64448031,Single Family,Single Family,,,,
180100,2018,2/25/2019,Ellington,40 ELLSWORTH LN,328900,460000.0,0.715,Single Family,Single Family,,,,POINT (-72.49104 41.92819)
190700,2019,4/24/2020,Norwalk,29 VAN BUREN AVE UNIT 16,110560,156315.0,0.7073,Condo,Condo,,1-19-12-16,,
190143,2019,12/9/2019,Enfield,1 VAN BUREN RD,134540,216750.0,0.6207,Single Family,Single Family,,,,
170206,2017,8/20/2018,Tolland,11 SHORES DRIVE,207000,305000.0,0.6786,Single Family,Single Family,,,,
17276,2017,6/29/2018,Watertown,145 WESTBURY PARK RD,123200,149000.0,0.8268,Single Family,Single Family,,,,
17573,2017,5/25/2018,Hartford,157 PRINCETON ST,49105,184000.0,0.2668,Single Family,Single Family,,,,
160302,2016,7/21/2017,New Canaan,161 RICHMOND HILL RD,671580,845000.0,0.794769231,Single Family,Single Family,,,,POINT (-73.50133 41.14133)
200477,2020,8/25/2021,East Lyme,10 STONECLIFFE DR,198100,350000.0,0.566,Residential,Single Family,,,,POINT (-72.20461 41.34405)
21004,2021,10/4/2021,Monroe,7 PATMAR LN,248600,475000.0,0.5233,Residential,Single Family,,,,POINT (-73.263935025 41.310259002)
190801,2019,7/2/2020,West Hartford,14 HARWICH LANE,194600,274000.0,0.7102,Condo,Condo,,,,
190150,2019,1/21/2020,Southbury,1036 B HERITAGE VILLAGE,83220,257000.0,0.32381323,Condo,Condo,07 - Change in Property,,TOTAL RENOVATION PER MLS,
18256,2018,9/26/2019,East Hampton,85 N MAIN ST UNIT 85,95450,131000.0,0.7286,Condo,Condo,,,,
160333,2016,2/10/2017,Bristol,239 HILL ST,159880,260000.0,0.614923077,Single Family,Single Family,,,,POINT (-72.97366 41.68771)
1800057,2018,10/11/2018,Stamford,254 GLENBROOK ROAD #  40D,142190,235000.0,0.605,Condo,Condo,,,,
190415,2019,9/9/2020,New Canaan,131 MARIOMI RD,888300,1399000.0,0.635,Single Family,Single Family,,,,
20021,2020,1/12/2021,Colebrook,30 FLAGG HILL ROAD,184000,325000.0,0.5661,Residential,Single Family,,,,POINT (-73.13998 41.96309)
180076,2018,12/4/2018,Westport,146 LANSDOWNE,470600,765000.0,0.6151,Condo,Condo,,,,
2020168,2020,3/31/2021,Ansonia,27 JACKSON ST,133100,270000.0,0.492962963,Residential,Two Family,07 - Change in Property,"FIN ATTIC WITH 2 BEDROOM & BATHROOM DISCOVERED, BUT STILL VALID",,POINT (-73.0865 41.34595)
21000327,2021,6/1/2022,Cheshire,206 GREENS LOOP,98850,190000.0,0.5202,Residential,Condo,,,,POINT (-72.88377104 41.517991983)
160152,2016,2/1/2017,Naugatuck,338 QUINN ST,83240,76000.0,1.095263158,Single Family,Single Family,14 - Foreclosure,BANK SALE,,
210448,2021,3/24/2022,Norwich,82 SALEM TPKE,262400,240000.0,1.093333333,Commercial,,,,,POINT (-72.111400036 41.511707986)
180410,2018,10/29/2018,Milford,85 VISCOUNT DR #10F,151520,252000.0,0.6012,Condo,Condo,,,,
180267,2018,6/3/2019,East Lyme,81 E PATTAGANSETT RD #2,81270,127000.0,0.6399,Condo,Condo,,,,
